우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|414|0|4415035021101560014016320|||3611035021||도계리|장군면|0|156|01|14||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|413|0|4415035021101560010018117|||3611035021||도계리||0|156|01|10||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|411|0|4415035021101560004016309|||3611035021||도계리||0|156|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|408|7|4415035021101560019016321|||3611035021||도계리||0|156|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|411|1|4415035021101560001018107|||3611035021||도계리||0|156|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|2|4415035021101540058018016|||3611035021||도계리||0|154|01|58||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|17|11|4415035021102240012018190|||3611035021||도계리||0|224|01|12||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|9|11|4415035021100490002018214|||3611035021||도계리||0|49|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|50|0|4415035021102290004018175|||3611035021||도계리||0|229|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|9|5|4415035021100490000018210|||3611035021||도계리||0|49|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|9|15|4415035021100480004018218|||3611035021||도계리||0|48|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|9|13|4415035021100480002018217|||3611035021||도계리||0|48|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|45|4|4415035021100470000018227|||3611035021||도계리||0|47|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|13|0|4415035021102240011018176|||3611035021||도계리||0|224|01|11||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|17|5|4415035021102240010018173|||3611035021||도계리||0|224|01|10||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|23|4415035021101510002018065|||3611035021||도계리||0|151|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|421|2|4415035021101600001016335|||3611035021||도계리||0|160|01|55||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|328|35|4415035021102670004016658|||3611035021||도계리||0|267|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|4|0|4415035021101560017018139|||3611035021||도계리||0|156|01|17||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|6|0|4415035021101560013018164|||3611035021||도계리||0|156|01|13||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|10|0|4415035021101630006018183|||3611035021||도계리||0|163|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|5|0|4415035021101620005018187|||3611035021||도계리||0|162|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|57|0|4415035021100810002018346|||3611035021||도계리||0|81|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|75|0|4415035021102760006016256|||3611035021||도계리||0|276|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|73|0|4415035021102760005000001|||3611035021||도계리||0|276|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|26|0|4415035021100510006016360|||3611035021||도계리||0|51|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|24|0|4415035021100510005018229|||3611035021||도계리||0|51|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|22|0|4415035021100510004018223|||3611035021||도계리||0|51|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|30|9|4415035021100500000018042|||3611035021||도계리||0|50|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|407|0|4415035021101540001018084|||3611035021||도계리||0|154|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|437|3|4415035021101370000016347|||3611035021||도계리||0|137|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|410|0|4415035021101540002016312|||3611035021||도계리||0|154|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|328|34|4415035021102670021016513|||3611035021||도계리||0|267|01|21||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|437|81|4415035021102970001016993|||3611035021||도계리||0|297|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|418|0|4415035021101620005018186|||3611035021||도계리||0|162|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|434|0|4415035021100060003018044|||3611035021||도계리||0|6|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|400|1|4415035021101670000000219|||3611035021||도계리||0|167|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|419|0|4415035021101600005016331|||3611035021||도계리||0|160|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|419|12|4415035021101600030018162|||3611035021||도계리||0|160|01|30||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|11|1|4415035021101630011016574|||3611035021||도계리||0|163|01|11||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|63|0|4415035021100810006018363|||3611035021||도계리||0|81|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|28|0|4415035021100510007018265|||3611035021||도계리||0|51|01|7||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|21|4415035021101510005016304|||3611035021||도계리||0|151|01|5||
